name	charge	inchikey
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-K
Coenzyme A	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-M
Succinate	-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Bicarbonate	-1	BVKZGUZCCUSVTD-UHFFFAOYSA-M
Malonyl-Coenzyme A	-5	LTYOQGRJFJAKNA-DVVLENMVSA-N
Acyl-carrier protein	0	OBUGXZVDQXDGTF-VEJNRXSDSA-N
Malonyl-acyl-carrier-protein	-1	NaN
Formate	-1	BDAGIHXWWSANSR-UHFFFAOYSA-M
5,6,7,8-Tetrahydrofolate	-2	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
10-Formyltetrahydrofolate	-1	AUFGTPPARQZWDO-YUZLPWPTSA-N
Dihydrofolate	-1	OZRNSSUDZOLUSN-LBPRGKRZSA-N
5,6,7,8-Tetrahydrofolate	-1	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
Oxidized thioredoxin	0	NaN
Reduced thioredoxin	0	NaN
Adenosine	0	OIRDTQYFTABQOQ-KQYNXXCUSA-N
Adenosine 5-phosphate	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-L
D-Ribose	0	SRBFZHDQGSBBOR-SOOFDHNKSA-N
Adenine	-1	GFFGJBXGBJISGV-UHFFFAOYSA-N
5-Phosphoribosyl 1-pyrophosphate	-4	PQGCEDQWHSBAJP-TXICZTDVSA-N
D-Ribose	0	SRBFZHDQGSBBOR-SOOFDHNKSA-N
Nitrate	-1	NHNBFGGVMKEFGY-UHFFFAOYSA-N
Nitrite	-1	IOVCWXUNBOPUCH-UHFFFAOYSA-M
Nitrite	-1	IOVCWXUNBOPUCH-UHFFFAOYSA-M
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Sulfate	-2	QAOWNCQODCNURD-UHFFFAOYSA-L
Adenosine 5-phosphosulfate	-2	IRLPACMLTUPBCL-KQYNXXCUSA-N
Glutathione	-1	RWSXRVCMGQZWBV-WDSKDSINSA-N
Sulfite	-1	LSNNMFCWUKXFEE-UHFFFAOYSA-L
Glutathione disulfide	-2	YPZRWBKMTBYPTK-BJDJZHNGSA-N
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
L-Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-N
L-Alanine	0	QNAYBMKLOCPYGJ-REOHCLBHSA-N
L-Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-N
L-Alanine	0	QNAYBMKLOCPYGJ-REOHCLBHSA-N
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
L-Alanine	0	QNAYBMKLOCPYGJ-REOHCLBHSA-N
Acetylglutamate	-3	RFMMMVDNIPUKGG-YFKPBYRVSA-N
Acetylglutamate 5-phosphate	-4	FCVIHFVSXHOPSW-YFKPBYRVSA-N
Acetylglutamate 5-semialdehyde	-2	BCPSFKBPHHBDAI-LURJTMIESA-N
Acetylornithine	-1	JRLGPAXAGHMNOL-LURJTMIESA-N
L-Ornithine	1	AHLPHDHHMVZTML-BYPYZUCNSA-N
L-Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
Carbamoyl phosphate	-3	FFQKYPRQEYGKAF-UHFFFAOYSA-N
Citrulline	1	RHGKLRLOHDJJDR-BYPYZUCNSA-N
L-Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N
Argininosuccinate	-1	KDZOASGQNOPSCU-WDSKDSINSA-N
L-Arginine	1	ODKSFYDXXFIFQN-BYPYZUCNSA-N
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L
L-Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
L-Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N
L-Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-N
L-Asparagine	0	DCXYFEDJOCDNAF-REOHCLBHSA-N
L-Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N
L-Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
L-Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
L-Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
L-Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
L-Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
